test.id,http.path,test.level,test.objective,test.provider_csv,test.cardValue_csv,test.quantity_csv,test.res_purchasingPrice_csv,response.code_csv,response.message_csv,response.http_code_csv,active_or_not,groupcase
1,smartbank/phone-cards/v1/payment,regression,Nạp tiền điện thoại  - GMOBILE - 10k,GMOBILE,10000,1,9800.0,2000000,Thực hiện thành công,200,active,successCase
2,smartbank/phone-cards/v1/payment,regression,Nạp tiền điện thoại  - GMOBILE - 20k,GMOBILE,20000,1,19600.0,2000000,Thực hiện thành công,200,active,successCase
3,smartbank/phone-cards/v1/payment,regression,Nạp tiền điện thoại  - GMOBILE - 30k,GMOBILE,30000,1,29400.0,2000000,Thực hiện thành công,200,active,successCase
4,smartbank/phone-cards/v1/payment,regression,Nạp tiền điện thoại  - GMOBILE - 50k,GMOBILE,50000,1,49000.0,2000000,Thực hiện thành công,200,active,successCase
5,smartbank/phone-cards/v1/payment,regression,Nạp tiền điện thoại  - GMOBILE - 100k,GMOBILE,100000,1,98000.0,2000000,Thực hiện thành công,200,active,successCase
6,smartbank/phone-cards/v1/payment,regression,Nạp tiền điện thoại  - GMOBILE - 200k,GMOBILE,200000,1,196000.0,2000000,Thực hiện thành công,200,active,successCase
7,smartbank/phone-cards/v1/payment,regression,Nạp tiền điện thoại  - GMOBILE - 300k,GMOBILE,300000,1,294000.0,2000000,Thực hiện thành công,200,active,successCase
8,smartbank/phone-cards/v1/payment,regression,Nạp tiền điện thoại  - GMOBILE - 500k,GMOBILE,500000,1,490000.0,2000000,Thực hiện thành công,200,active,successCase
9,smartbank/phone-cards/v1/payment,regression,Nạp tiền điện thoại  - MOBIFONE - 10k,MOBIFONE,10000,1,9800.0,2000000,Thực hiện thành công,200,active,successCase
10,smartbank/phone-cards/v1/payment,regression,Nạp tiền điện thoại  - MOBIFONE - 20k,MOBIFONE,20000,1,19600.0,2000000,Thực hiện thành công,200,active,successCase
11,smartbank/phone-cards/v1/payment,regression,Nạp tiền điện thoại  - MOBIFONE - 30k,MOBIFONE,30000,1,29400.0,2000000,Thực hiện thành công,200,active,successCase
12,smartbank/phone-cards/v1/payment,regression,Nạp tiền điện thoại  - MOBIFONE - 50k,MOBIFONE,50000,1,49000.0,2000000,Thực hiện thành công,200,active,successCase
13,smartbank/phone-cards/v1/payment,regression,Nạp tiền điện thoại  - MOBIFONE - 100k,MOBIFONE,100000,1,98000.0,2000000,Thực hiện thành công,200,active,successCase
14,smartbank/phone-cards/v1/payment,regression,Nạp tiền điện thoại  - MOBIFONE - 200k,MOBIFONE,200000,1,196000.0,2000000,Thực hiện thành công,200,active,successCase
15,smartbank/phone-cards/v1/payment,regression,Nạp tiền điện thoại  - MOBIFONE - 300k,MOBIFONE,300000,1,294000.0,2000000,Thực hiện thành công,200,active,successCase
16,smartbank/phone-cards/v1/payment,regression,Nạp tiền điện thoại  - MOBIFONE - 500k,MOBIFONE,500000,1,490000.0,2000000,Thực hiện thành công,200,active,successCase
17,smartbank/phone-cards/v1/payment,regression,Nạp tiền điện thoại  - VIETNAMOBILE - 10k,VIETNAMOBILE,10000,1,9800.0,2000000,Thực hiện thành công,200,active,successCase
18,smartbank/phone-cards/v1/payment,regression,Nạp tiền điện thoại  - VIETNAMOBILE - 20k,VIETNAMOBILE,20000,1,19600.0,2000000,Thực hiện thành công,200,active,successCase
19,smartbank/phone-cards/v1/payment,regression,Nạp tiền điện thoại  - VIETNAMOBILE - 30k,VIETNAMOBILE,30000,1,29400.0,2000000,Thực hiện thành công,200,active,successCase
20,smartbank/phone-cards/v1/payment,regression,Nạp tiền điện thoại  - VIETNAMOBILE - 50k,VIETNAMOBILE,50000,1,49000.0,2000000,Thực hiện thành công,200,active,successCase
21,smartbank/phone-cards/v1/payment,regression,Nạp tiền điện thoại  - VIETNAMOBILE - 100k,VIETNAMOBILE,100000,1,98000.0,2000000,Thực hiện thành công,200,active,successCase
